filename,title,subject,publisher,year,license,size_mb,format,source,ingestion_status,library_rel_path
OpenStax_Anatomy_Physiology.pdf,Openstax Anatomy Physiology,Biology,,,,129.1,PDF,Local library,pending,Biology/OpenStax_Anatomy_Physiology.pdf
OpenStax_Biology_2e.pdf,Openstax Biology 2E,Biology,,,,0.0,PDF,Local library,pending,Biology/OpenStax_Biology_2e.pdf
OpenStax_Microbiology.pdf,Openstax Microbiology,Biology,,,,296.0,PDF,Local library,pending,Biology/OpenStax_Microbiology.pdf
OpenStax_Financial_Accounting.pdf,Financial Accounting,Business/Accounting,OpenStax,2019,CC BY 4.0,156.7,PDF,OpenStax / OER,pending,Business/Accounting/OpenStax_Financial_Accounting.pdf
OpenStax_Managerial_Accounting.pdf,Managerial Accounting,Business/Accounting,OpenStax,2019,CC BY 4.0,77.3,PDF,OpenStax / OER,pending,Business/Accounting/OpenStax_Managerial_Accounting.pdf
OpenStax_Business_Ethics.pdf,Business Ethics,Business/Business Ethics,OpenStax,2019,CC BY 4.0,44.6,PDF,OpenStax / OER,pending,Business/Business Ethics/OpenStax_Business_Ethics.pdf
OpenStax_Entrepreneurship.pdf,Entrepreneurship: Building an Opportunity-Focused Business,Business/Entrepreneurship,OpenStax,2020,CC BY 4.0,124.4,PDF,OpenStax / OER,pending,Business/Entrepreneurship/OpenStax_Entrepreneurship.pdf
OpenStax_Introduction_to_Business.pdf,Introduction to Business,Business/Entrepreneurship,OpenStax,2019,CC BY 4.0,52.6,PDF,OpenStax / OER,pending,Business/Entrepreneurship/OpenStax_Introduction_to_Business.pdf
OpenStax_Introductory_Business_Statistics_2e.pdf,Introductory Business Statistics 2e,Business/Entrepreneurship,OpenStax,2023,CC BY 4.0,19.1,PDF,OpenStax / OER,pending,Business/Entrepreneurship/OpenStax_Introductory_Business_Statistics_2e.pdf
VT_Fundamentals_of_Business.pdf,Fundamentals of Business,Business/Entrepreneurship,Virginia Tech,2019,CC BY-NC-SA 4.0,25.5,PDF,OpenStax / OER,pending,Business/Entrepreneurship/VT_Fundamentals_of_Business.pdf
OpenStax_Business_Statistics.pdf,Business Statistics,Business/Finance,OpenStax,2021,CC BY 4.0,22.8,PDF,OpenStax / OER,pending,Business/Finance/OpenStax_Business_Statistics.pdf
OpenStax_Principles_of_Finance.pdf,Principles of Finance,Business/Finance,OpenStax,2022,CC BY 4.0,59.6,PDF,OpenStax / OER,pending,Business/Finance/OpenStax_Principles_of_Finance.pdf
Saylor_International_Business.pdf,Saylor International Business,Business/International Business,,,,6.0,PDF,Local library,pending,Business/International Business/Saylor_International_Business.pdf
OpenStax_Business_Law.pdf,Business Law I Essentials,Business/Law,OpenStax,2019,CC BY 4.0,15.1,PDF,OpenStax / OER,pending,Business/Law/OpenStax_Business_Law.pdf
OpenStax_Business_Law_I_Essentials.pdf,Business Law I Essentials (Alt),Business/Law,OpenStax,2019,CC BY 4.0,15.1,PDF,OpenStax / OER,pending,Business/Law/OpenStax_Business_Law_I_Essentials.pdf
OpenStax_Organizational_Behavior.pdf,Organizational Behavior,Business/Management,OpenStax,2019,CC BY 4.0,48.0,PDF,OpenStax / OER,pending,Business/Management/OpenStax_Organizational_Behavior.pdf
OpenStax_Principles_of_Management.pdf,Principles of Management,Business/Management,OpenStax,2019,CC BY 4.0,50.3,PDF,OpenStax / OER,pending,Business/Management/OpenStax_Principles_of_Management.pdf
OpenStax_Principles_of_Marketing.pdf,Principles of Marketing,Business/Marketing,OpenStax,2023,CC BY 4.0,56.8,PDF,OpenStax / OER,pending,Business/Marketing/OpenStax_Principles_of_Marketing.pdf
OpenStax_Chemistry_2e_HQ.pdf,Chemistry 2e,Chemistry,OpenStax,2019,CC BY 4.0,206.1,PDF,OpenStax / OER,pending,Chemistry/OpenStax_Chemistry_2e_HQ.pdf
